Provincias,Total,Mortales,mortalidad,Muertosxacc,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos,Total,Mortales,Total,Muertos,Heridos
ÁLAVA,443,24,5.42,1.29,733,31,702,417,24,697,31,666,26,0,36,0,36
ALBACETE,1.027,43,4.19,1.26,1.603,54,1.549,577,37,1.022,48,974,450,6,581,6,575
ALICANTE,2.260,126,5.58,1.28,3.604,161,3.443,1.682,118,2.870,151,2.719,578,8,734,10,724
ALMERÍA,1.121,81,7.23,1.31,1.850,106,1.744,803,69,1.396,91,1.305,318,12,454,15,439
ÁVILA,522,28,5.36,1.43,842,40,802,365,25,637,37,600,157,3,205,3,202
BADAJOZ,1.031,58,5.63,1.24,1.610,72,1.538,566,49,967,60,907,465,9,643,12,631
BALEARES,2.567,103,4.01,1.27,3.844,131,3.713,1.304,84,2.205,104,2.101,1.263,19,1.639,27,1.612
BARCELONA,16.487,237,1.44,1.33,22.391,316,22.075,1.647,129,2.827,167,2.660,14.840,108,19.564,149,19.415
BURGOS,926,53,5.72,1.38,1.640,73,1.567,750,50,1.406,68,1.338,176,3,234,5,229
CÁCERES,656,39,5.95,1.18,1.100,46,1.054,581,38,1.006,45,961,75,1,94,1,93
CÁDIZ,3.526,69,1.96,1.38,5.427,95,5.332,1.349,58,2.428,78,2.350,2.177,11,2.999,17,2.982
CASTELLÓN,1.236,71,5.74,1.24,1.954,88,1.866,681,59,1.185,74,1.111,555,12,769,14,755
CIUDAD REAL,1.053,53,5.03,1.25,1.666,66,1.600,667,44,1.156,55,1.101,386,9,510,11,499
CÓRDOBA,1.185,64,5.40,1.16,1.895,74,1.821,818,60,1.371,68,1.303,367,4,524,6,518
A CORUÑA,1.735,101,5.82,1.42,2.707,143,2.564,1.367,94,2.227,133,2.094,368,7,480,10,470
CUENCA,617,45,7.29,1.31,1.105,59,1.046,547,43,1.008,57,951,70,2,97,2,95
GIRONA,1.600,80,5.00,1.35,2.331,108,2.223,615,66,1.076,87,989,985,14,1.255,21,1.234
GRANADA,1.316,74,5.62,1.36,2.325,101,2.224,1.051,71,1.985,97,1.888,265,3,340,4,336
GUADALAJARA,433,28,6.47,1.57,694,44,650,327,25,550,40,510,106,3,144,4,140
GUIPÚZCOA,1.279,30,2.35,1.40,1.863,42,1.821,1.151,27,1.704,37,1.667,128,3,159,5,154
HUELVA,685,54,7.88,1.22,1.062,66,996,590,50,944,62,882,95,4,118,4,114
HUESCA,778,42,5.40,1.60,1.258,67,1.191,595,40,1.014,63,951,183,2,244,4,240
JAÉN,1.022,42,4.11,1.26,1.633,53,1.580,686,39,1.176,48,1.128,336,3,457,5,452
LEÓN,1.159,49,4.23,1.37,1.812,67,1.745,662,33,1.122,46,1.076,497,16,690,21,669
LLEIDA,972,83,8.54,1.22,1.563,101,1.462,467,70,859,83,776,505,13,704,18,686
LA RIOJA,679,39,5.74,1.31,1.056,51,1.005,364,31,623,42,581,315,8,433,9,424
LUGO,1.003,50,4.99,1.36,1.558,68,1.490,840,47,1.353,63,1.290,163,3,205,5,200
MADRID,11.901,197,1.66,1.39,16.908,274,16.634,3.904,154,6.237,200,6.037,7.997,43,10.671,74,10.597
MÁLAGA,2.636,97,3.68,1.36,3.850,132,3.718,1.082,72,1.809,96,1.713,1.554,25,2.041,36,2.005
MURCIA,1.642,129,7.86,1.29,2.981,166,2.815,1.340,112,2.555,144,2.411,302,17,426,22,404
NAVARRA,394,72,18.27,1.15,618,83,535,361,69,577,80,497,33,3,41,3,38
OURENSE,498,37,7.43,1.19,780,44,736,322,34,538,40,498,176,3,242,4,238
ASTURIAS,2.379,84,3.53,1.25,3.674,105,3.569,1.440,67,2.396,84,2.312,939,17,1.278,21,1.257
PALENCIA,533,32,6.00,1.47,864,47,817,326,25,598,38,560,207,7,266,9,257
PONTEVEDRA,1.506,78,5.18,1.28,2.348,100,2.248,1.189,66,1.902,85,1.817,317,12,446,15,431
SALAMANCA,1.033,34,3.29,1.32,1.667,45,1.622,414,29,779,38,741,619,5,888,7,881
CANTABRIA,891,28,3.14,1.14,1.431,32,1.399,780,22,1.276,26,1.250,111,6,155,6,149
SEGOVIA,428,27,6.31,1.26,701,34,667,349,22,597,28,569,79,5,104,6,98
SEVILLA,3.108,106,3.41,1.25,4.820,132,4.688,1.416,89,2.461,109,2.352,1.692,17,2.359,23,2.336
SORIA,287,23,8.01,1.35,451,31,420,247,22,394,30,364,40,1,57,1,56
TARRAGONA,1.906,89,4.67,1.37,2.762,122,2.640,994,80,1.595,107,1.488,912,9,1.167,15,1.152
TERUEL,383,31,8.09,1.26,624,39,585,345,27,580,34,546,38,4,44,5,39
TOLEDO,1.013,92,9.08,1.42,1.956,131,1.825,758,84,1.599,121,1.478,255,8,357,10,347
VALENCIA,5.670,134,2.36,1.43,8.041,192,7.849,1.339,101,2.249,134,2.115,4.331,33,5.792,58,5.734
VALLADOLID,789,41,5.20,1.46,1.326,60,1.266,559,34,966,47,919,230,7,360,13,347
VIZCAYA,1.814,29,1.60,1.28,2.786,37,2.749,1.543,24,2.437,30,2.407,271,5,349,7,342
ZAMORA,324,34,10.49,1.26,554,43,511,271,29,488,37,451,53,5,66,6,60
ZARAGOZA,2.056,82,3.99,1.32,2.958,108,2.850,928,62,1.495,80,1.415,1.128,20,1.463,28,1.435
CEUTA,50,2,4.00,1.00,66,2,64,0,0,0,0,0,50,2,66,2,64
MELILLA,524,2,0.38,1.50,742,3,739,0,0,0,0,0,524,2,742,3,739
LAS PALMAS,2.104,131,6.23,1.20,3.217,157,3.060,1.248,109,2.099,129,1.970,856,22,1.118,28,1.090